"meanImp";"medianImp";"minImp";"maxImp";"normHits";"decision"
"P1_CD14HIGHCD16NEG_CLASSICALMONOCYTES";5.68606183390857;5.84990946717868;1.66955637813578;8.61199048394307;0.909090909090909;"Confirmed"
"P1_CD14LOWCD16POS_NONCLASSICALMONOCYTES";-1.85224268841702;-1.80532959296284;-3.19543760668431;-0.83998061546734;0;"Rejected"
"P1_CD14POS_MONOCYTES";7.34382085198673;7.88896662738899;1.10563697878248;10.7969473235358;0.94949494949495;"Confirmed"
"P1_CD14POSCD16POS_INTERMEDIATEMONOCYTES";-0.307063753768862;-0.103085271358352;-1.94653593435333;0.385722217369434;0;"Rejected"
"P1_CD15HIGHCD16NEG_EOSINOPHILS";0.984235454699467;0.96200596935705;-0.18277175447581;1.90533562641033;0;"Rejected"
"P1_CD15LOWCD16HIGH_NEUTROPHILS";6.24172258589924;6.69597580645481;0.678218311601907;9.71927318002979;0.868686868686869;"Confirmed"
"P1_CD15POSCD14LOW_LDGS";0.565412945394185;0.47162569139757;-1.53694916945296;3.25813152669838;0.0303030303030303;"Rejected"
"P1_CD19POS_BCELLS";1.41778471636264;1.45176768440333;-0.301685007264562;2.81723997367775;0.0505050505050505;"Rejected"
"P1_CD3NEGCD56POS_NKCELLS";0.272965483463319;0.583789300983012;-1.56242996348009;1.75810453727808;0;"Rejected"
"P1_CD3POS_TCELLS";0.242644233961018;0.537849591812625;-2.70056270979835;1.95437806467078;0;"Rejected"
"P1_CD3POSCD56POS_NKLIKETCELLS";-1.02286633254507;-1.31385046665779;-2.22557398236931;0.68847469516966;0;"Rejected"
"P1_CD4POS_TCELLS";3.82615863684116;3.80333606038923;-0.50909348548606;7.195137141247;0.686868686868687;"Confirmed"
"P1_CD56HIGH_CD16LOW";3.47792753953414;3.34428150473085;-0.26741199518103;7.41634904951449;0.646464646464647;"Rejected"
"P1_CD56LOW_CD16HIGH";0.105443550083578;-0.0618639497855464;-1.37762703215216;1.08601338308346;0;"Rejected"
"P1_CD8POS_TCELLS";1.28347751134533;1.2359821199949;-1.19836038549747;3.03953571211239;0.0202020202020202;"Rejected"
"P1_LYMPHOCYTES";1.09655740266229;1.46531463838269;-1.61248370265746;2.59682827958231;0.0606060606060606;"Rejected"
"P1_MONOCYTES";6.78349406531772;7.35360025956827;1.81822109499755;10.4585683168307;0.909090909090909;"Confirmed"
"P1_PMN";6.5391472553804;7.21217400436878;0.528578852398581;10.7396260644686;0.868686868686869;"Confirmed"
